vessel_id,vessel_name,arrival_time,cargo_type,cargo_volume,delay_minutes,port_zone
5be06207-f438-4918-8bb2-5813d0a0da05,"White, Taylor and Torres",2025-08-30T15:21:29.694082,General,7209,100,Sud
ddffeb92-c802-4653-a69e-6e541246cf32,Wood PLC,2025-02-20T09:26:55.180814,Oil,1829,54,Nord
3d900461-d2d0-472b-812d-e72e5825586a,Cunningham-Moreno,2025-01-28T22:30:28.351294,Bulk,7018,106,Nord
354471bb-e2f3-4b92-81ae-a98029bde049,Garcia Inc,2025-07-15T08:42:13.469206,Oil,620,58,Ndayane
21109ca5-8d78-4d50-8df5-361c7b2accf4,Benton-Williams,2025-05-04T22:40:58.516186,Bulk,5502,95,Nord
55599089-f7db-40d6-bd28-6ec60bb728c9,Kane-Pena,2025-08-31T10:53:01.825709,General,4449,107,Ndayane
52f0012e-fea8-41b2-b693-60023a8fa37d,"Baker, Mendoza and Stevens",2025-08-16T10:57:54.366073,Oil,7537,21,Ndayane
d7ffea23-d7b5-4ef3-9728-e965a80d5917,Lopez-Ford,2025-09-12T09:28:40.823485,Oil,4155,46,Nord
b7aaf241-e26f-4100-b66c-ab6457bd5004,Underwood-Hoover,2025-10-11T05:14:45.641298,Containers,471,60,Ndayane
de7601e7-67d2-482e-8617-a5ffad190c4f,Wood-Graves,2025-09-28T23:37:35.271419,Bulk,8160,78,Sud
cc0f636f-1179-4591-8525-cc25f6e0da28,Moss-Gibson,2025-11-03T17:35:19.558827,Oil,171,116,Nord
e0bd71ad-0859-40e9-89a6-df2c5dc93216,Rivas-Spence,2025-05-10T00:55:23.170358,Containers,9710,72,Nord
cca60738-45ca-4937-b6eb-76b0d74edb62,Bush LLC,2025-05-09T07:16:56.744553,General,5452,17,Nord
c3ad80a9-9b42-4fba-bac7-6a868191e9e4,"Wilkinson, Crawford and Miller",2025-08-22T15:41:33.636046,General,2663,32,Ndayane
48bd33e0-8882-4d2f-9ff5-9ee7639f3afb,Stewart Inc,2025-08-12T21:32:10.798615,General,7464,50,Nord
9918539a-1cc1-494a-9cb0-bd9ffd960263,Parker LLC,2025-01-31T22:28:16.661805,Containers,9001,45,Sud
3a620f8b-c7ca-4a86-a06b-90198941a9f2,"Johnson, King and Armstrong",2025-04-16T21:42:27.325274,Bulk,5696,89,Ndayane
5469c836-1300-4b39-bb51-96dccb3d43f4,"Perry, Mcgrath and Price",2025-07-11T10:19:31.946148,Bulk,4076,92,Ndayane
62479646-2543-4d4f-928f-aa02e520e659,Richardson-Kane,2025-02-18T10:31:56.355382,Oil,5882,52,Nord
